"meanP1","meanP2","meanLeader","BestFitness","AverageFitness","SDFitness"
0.471411737203598,0.501496774121188,0.503791943201795,345,37.6,59.4055995048047
0.433055426384665,0.410414788215377,0.401067999420684,212.5,29.37,48.0733141706866
0.412584221909826,0.445684217924264,0.508317577976755,224,37.155,51.9376906698903
0.451526704958898,0.456617437946206,0.492642828933353,227.5,34.885,54.2017767329642
0.446811520408158,0.378754634291887,0.393165990546938,234,30.255,51.1367000886799
0.501048946430301,0.295237616910128,0.315855946563333,249.5,47.055,63.2598814495419
0.579071101662067,0.280622421507029,0.243265195936487,262,59.595,75.4923133086202
0.573975725543866,0.316827193837711,0.247541509020493,277.5,48.53,71.3661005171945
0.571996976338201,0.376367237253534,0.282699485839232,256.5,34.705,60.5464215843238
0.520271206898473,0.374527102832869,0.286273586833512,258,34.64,64.325289181494
0.495927756724048,0.452169694218888,0.323385262923751,323,33.335,71.4240804468407
0.390426352563531,0.46154189584887,0.284118727930707,318.5,26.55,59.7522874757599
0.29214720821211,0.474759000560781,0.348931788956115,264,40.01,70.5173157329589
0.342402971557566,0.591284149669437,0.360858823013702,275.5,28.96,63.0101274527846
0.310430906325504,0.549899514648823,0.317987113125716,341.5,28.315,64.1359688474416
0.25008837340511,0.464764896445025,0.246020706918561,234,38.57,65.3483679361558
0.197999809922787,0.376209267448809,0.155900473166251,240,31.9,61.6583942035274
0.205150870367345,0.408792863972972,0.156209712591371,236,42.255,69.0052148153831
0.160236324890221,0.403933905094269,0.121055829787702,213,26.63,55.1921629263145
0.186506665805849,0.359022721642266,0.158368118784282,250,34.81,62.2619012192395
0.203812307974636,0.37849338900188,0.141996463781476,310,40.53,72.6845550681473
0.140077561305071,0.459225316963929,0.14942187278517,228,35.29,68.964607377314
0.137353960225822,0.486778167327527,0.167611519704549,204,21.66,54.3880037277978
0.180755700915086,0.419090458921917,0.166856326683499,219.5,24.605,58.9614792500454
0.218019876189242,0.481977043957595,0.19844046677842,293,33.255,74.7886414092299
0.205700373843397,0.534880981884741,0.15572821379695,270,30.615,68.2875624610272
0.183149480750952,0.548763446045244,0.225064889052477,222.5,24.64,61.1500505876216
