"P1_roll","P2_roll","P1_cheat","P2_cheat","check","cheated","payoff","th_payoff","ingame","n_game"
6,1,0,0,0,0,0,0,1,5
4,4,0,1,0,1,4,4,1,5
4,5,0,0,0,0,0,0,1,5
3,1,0,0,0,0,0,0,1,5
6,4,0,0,0,0,0,0,1,5
2,3,0,0,0,0,0,0,1,5
1,6,0,0,0,0,0,0,1,5
2,4,0,0,0,0,0,0,1,5
2,5,0,0,0,0,0,0,1,5
2,4,0,0,0,0,0,0,1,5
5,2,0,0,0,0,0,0,1,5
3,6,0,0,0,0,0,0,1,5
6,1,0,0,0,0,0,0,1,5
6,1,0,0,0,0,0,0,1,5
4,3,0,0,0,0,0,0,1,5
1,5,0,0,0,0,0,0,1,5
4,5,0,0,0,0,0,0,1,5
1,2,0,0,0,0,0,0,1,5
6,4,0,0,0,0,0,0,1,5
3,2,0,0,0,0,0,0,1,5
5,2,0,0,0,0,0,0,1,5
6,4,1,0,0,0,0,0,1,5
4,3,0,0,0,0,0,0,1,5
1,3,0,0,0,0,0,0,1,5
2,2,0,1,0,1,2,2,1,5
1,2,0,0,0,0,0,0,1,5
6,2,1,0,0,0,0,0,1,5
2,2,0,0,0,0,2,2,1,5
2,3,0,0,0,0,0,0,1,5
2,3,0,0,0,0,0,0,1,5
3,4,0,0,0,0,0,0,1,5
5,1,0,0,0,0,0,0,1,5
2,5,0,0,0,0,0,0,1,5
5,4,0,0,0,0,0,0,1,5
4,5,0,0,0,0,0,0,1,5
6,2,0,0,0,0,0,0,1,5
6,3,0,0,0,0,0,0,1,5
5,4,0,0,0,0,0,0,1,5
4,2,0,0,0,0,0,0,1,5
6,1,1,0,0,0,0,0,1,5
4,3,0,0,0,0,0,0,1,5
4,4,0,1,0,1,4,4,1,5
1,3,0,0,0,0,0,0,1,5
2,3,0,0,0,0,0,0,1,5
4,5,0,0,0,0,0,0,1,5
5,4,0,0,0,0,0,0,1,5
5,3,0,0,0,0,0,0,1,5
6,1,1,0,0,0,0,0,1,5
3,6,0,0,0,0,0,0,1,5
6,4,1,0,0,0,0,0,1,5
1,3,0,0,0,0,0,0,1,5
1,6,0,0,0,0,0,0,1,5
3,5,0,0,0,0,0,0,1,5
6,5,0,0,0,0,0,0,1,5
5,1,0,0,0,0,0,0,1,5
3,4,0,0,0,0,0,0,1,5
2,3,0,0,0,0,0,0,1,5
1,4,0,0,0,0,0,0,1,5
5,6,0,0,0,0,0,0,1,5
1,5,0,0,0,0,0,0,1,5
6,1,0,0,0,0,0,0,1,5
6,2,0,0,0,0,0,0,1,5
3,5,0,0,0,0,0,0,1,5
5,5,0,0,0,0,5,5,1,5
3,4,0,0,0,0,0,0,1,5
4,1,0,0,0,0,0,0,1,5
6,6,0,1,0,1,6,6,1,5
1,4,0,0,0,0,0,0,1,5
3,2,0,0,0,0,0,0,1,5
5,4,0,0,0,0,0,0,1,5
3,1,0,0,0,0,0,0,1,6
5,3,0,0,0,0,0,0,1,6
5,3,0,0,0,0,0,0,1,6
4,4,0,1,0,1,4,4,1,6
5,5,0,1,0,1,5,5,1,6
2,6,0,0,0,0,0,0,1,6
2,5,0,0,0,0,0,0,1,6
6,1,0,0,0,0,0,0,1,6
5,6,0,0,0,0,0,0,1,6
1,1,0,0,0,0,1,1,1,6
4,6,0,0,0,0,0,0,1,6
4,4,0,1,0,1,4,4,1,6
6,1,0,0,0,0,0,0,1,6
6,4,0,0,0,0,0,0,1,6
3,5,0,0,0,0,0,0,1,6
6,3,0,0,0,0,0,0,1,6
5,4,0,0,0,0,0,0,1,6
3,6,0,0,0,0,0,0,1,6
3,3,0,0,0,0,3,3,1,6
6,1,0,0,0,0,0,0,1,6
6,4,1,0,0,0,0,0,1,6
2,3,0,0,0,0,0,0,1,6
1,3,0,0,0,0,0,0,1,6
6,6,0,1,0,1,6,6,1,6
6,4,0,0,0,0,0,0,1,6
1,1,0,0,0,0,1,1,1,6
1,1,0,1,0,1,1,1,1,6
4,1,0,0,0,0,0,0,1,6
6,6,1,0,0,1,6,6,1,6
5,6,0,0,0,0,0,0,1,6
4,2,0,0,0,0,0,0,1,6
6,2,1,0,0,0,0,0,1,6
1,6,0,0,0,0,0,0,1,6
4,5,0,0,0,0,0,0,1,6
6,2,1,0,0,0,0,0,1,6
3,2,0,0,0,0,0,0,1,6
4,6,0,0,0,0,0,0,1,6
3,3,0,0,1,0,1.5,3,1,6
6,3,1,0,0,0,0,0,1,6
6,1,0,0,0,0,0,0,1,6
3,3,0,0,0,0,3,3,1,6
5,6,0,0,0,0,0,0,1,6
1,2,0,0,0,0,0,0,1,6
6,5,1,0,0,0,0,0,1,6
2,5,0,0,0,0,0,0,1,6
6,6,1,0,0,1,6,6,1,6
6,5,0,0,0,0,0,0,1,6
5,5,0,0,0,0,5,5,1,6
1,4,0,0,0,0,0,0,1,6
6,1,0,0,0,0,0,0,1,6
5,5,0,0,0,0,5,5,1,6
6,5,0,0,0,0,0,0,1,6
4,1,0,0,0,0,0,0,1,6
4,2,0,0,0,0,0,0,1,6
5,3,0,0,0,0,0,0,1,6
6,6,0,1,0,1,6,6,1,6
6,3,0,0,0,0,0,0,1,6
1,4,0,0,0,0,0,0,1,6
6,5,1,0,0,0,0,0,1,6
1,6,0,0,0,0,0,0,1,6
1,2,0,0,0,0,0,0,1,6
3,1,0,0,0,0,0,0,1,6
6,1,0,0,0,0,0,0,1,6
5,2,0,0,0,0,0,0,1,6
5,6,0,0,0,0,0,0,1,6
6,1,0,0,0,0,0,0,1,6
1,1,0,0,0,0,1,1,1,6
4,2,0,0,0,0,0,0,1,6
3,3,0,0,1,0,1.5,3,1,6
3,3,0,0,0,0,3,3,1,6
2,1,0,0,0,0,0,0,1,6
6,6,0,0,0,0,6,6,1,6
1,5,0,0,0,0,0,0,1,6
6,4,1,0,0,0,0,0,1,6
4,2,0,0,0,0,0,0,1,6
5,2,0,0,0,0,0,0,1,6
2,3,0,0,0,0,0,0,1,6
4,6,0,0,0,0,0,0,1,6
1,1,0,0,0,0,1,1,1,6
1,6,0,0,0,0,0,0,1,6
3,3,0,0,1,0,1.5,3,1,6
3,3,0,0,1,0,1.5,3,1,6
5,6,0,0,0,0,0,0,1,6
6,3,0,0,0,0,0,0,1,6
4,4,0,1,0,1,4,4,1,6
4,4,0,0,0,0,4,4,1,6
2,5,0,0,0,0,0,0,1,6
5,1,0,0,0,0,0,0,1,6
1,2,0,0,0,0,0,0,1,6
5,2,0,0,0,0,0,0,1,6
1,1,0,1,0,1,1,1,0,6
4,4,0,0,1,0,0,4,0,6
3,1,0,0,0,0,0,0,0,6
6,1,0,0,0,0,0,0,0,6
2,4,0,0,0,0,0,0,0,6
5,2,0,0,0,0,0,0,0,6
4,5,0,0,0,0,0,0,0,6
6,4,1,0,0,0,0,0,0,6
2,4,0,0,0,0,0,0,0,6
3,5,0,0,0,0,0,0,0,6
4,6,0,0,0,0,0,0,1,7
4,3,0,0,0,0,0,0,1,7
2,5,0,0,0,0,0,0,1,7
1,5,0,0,0,0,0,0,1,7
5,5,0,1,0,1,5,5,1,7
6,6,0,0,0,0,6,6,1,7
6,6,0,0,0,0,6,6,1,7
6,6,0,1,0,1,6,6,1,7
1,6,0,0,0,0,0,0,1,7
6,1,0,0,0,0,0,0,1,7
4,6,0,0,0,0,0,0,1,7
6,4,1,0,0,0,0,0,1,7
5,6,0,0,0,0,0,0,1,7
1,4,0,0,0,0,0,0,1,7
1,6,0,0,0,0,0,0,1,7
4,4,0,0,0,0,4,4,1,7
1,2,0,0,0,0,0,0,1,7
1,5,0,0,0,0,0,0,1,7
6,6,0,0,0,0,6,6,1,7
5,5,0,0,0,0,5,5,1,7
4,5,0,0,0,0,0,0,1,7
1,5,0,0,0,0,0,0,1,7
6,6,1,1,1,1,0,6,1,7
6,6,0,0,0,0,6,6,1,7
4,1,0,0,0,0,0,0,1,7
2,4,0,0,0,0,0,0,1,7
6,3,1,0,0,0,0,0,1,7
6,1,1,0,0,0,0,0,1,7
5,4,0,0,0,0,0,0,1,7
3,3,0,0,0,0,3,3,1,7
5,1,0,0,0,0,0,0,1,7
2,2,0,0,0,0,2,2,1,7
1,4,0,0,0,0,0,0,1,7
4,2,0,0,0,0,0,0,1,7
3,5,0,0,0,0,0,0,1,7
4,1,0,0,0,0,0,0,1,7
3,5,0,0,0,0,0,0,1,7
1,2,0,0,0,0,0,0,1,7
5,2,0,0,0,0,0,0,1,7
4,4,0,0,0,0,4,4,1,7
2,2,0,1,0,1,2,2,1,7
2,5,0,0,0,0,0,0,1,7
5,4,0,0,0,0,0,0,1,7
1,3,0,0,0,0,0,0,1,7
6,4,0,0,0,0,0,0,1,7
2,3,0,0,0,0,0,0,1,7
2,5,0,0,0,0,0,0,1,7
6,6,0,0,1,0,3,6,1,7
1,1,0,1,0,1,1,1,1,7
3,3,0,0,1,0,1.5,3,1,7
2,6,0,0,0,0,0,0,1,7
5,3,0,0,0,0,0,0,1,7
6,4,0,0,0,0,0,0,1,7
6,3,0,0,0,0,0,0,1,7
4,4,0,1,0,1,4,4,1,7
4,6,0,0,0,0,0,0,1,7
5,6,0,0,0,0,0,0,1,7
6,2,0,0,0,0,0,0,1,7
2,4,0,0,0,0,0,0,1,7
1,2,0,0,0,0,0,0,1,7
3,1,0,0,0,0,0,0,1,7
3,3,0,1,0,1,3,3,1,7
5,5,0,1,0,1,5,5,1,7
5,4,0,0,0,0,0,0,1,7
1,6,0,0,0,0,0,0,1,7
4,6,0,0,0,0,0,0,1,7
1,4,0,0,0,0,0,0,1,7
3,2,0,0,0,0,0,0,1,7
1,6,0,0,0,0,0,0,1,7
3,4,0,0,0,0,0,0,1,7
2,6,0,0,0,0,0,0,1,7
1,4,0,0,0,0,0,0,1,7
3,6,0,0,0,0,0,0,1,7
4,6,0,0,0,0,0,0,1,7
4,4,0,0,0,0,4,4,1,7
2,5,0,0,0,0,0,0,1,7
2,2,0,0,0,0,2,2,1,7
5,1,0,0,0,0,0,0,1,7
2,1,0,0,0,0,0,0,1,7
2,4,0,0,0,0,0,0,1,7
5,1,0,0,0,0,0,0,1,7
1,6,0,0,0,0,0,0,1,7
1,6,0,0,0,0,0,0,1,7
3,1,0,0,0,0,0,0,1,7
6,2,0,0,0,0,0,0,1,7
6,5,0,0,0,0,0,0,1,7
5,3,0,0,0,0,0,0,1,7
5,2,0,0,0,0,0,0,1,7
