,Participant,Condition,Imitative Compatibility,Spatial Compatibility,Reaction_time,Response,Correctness,Cue,Finger,Green
0,v,M,1.0,0.0,0.536202001572,m,1.0,m,m,0.0
1,v,M,0.0,0.0,0.486622047424,m,1.0,m,i,0.0
2,v,M,0.0,1.0,0.479256916046,i,1.0,i,m,0.0
3,v,M,0.0,1.0,0.454717111588,m,1.0,m,i,0.0
4,v,M,0.0,0.0,0.604115104675,i,1.0,i,m,0.0
5,v,M,1.0,0.0,0.569279909134,i,1.0,i,i,0.0
6,v,M,1.0,1.0,0.521205997467,m,1.0,m,m,0.0
7,v,M,1.0,1.0,0.456196975708,i,1.0,i,i,0.0
