,Participant,Condition,Imitative Compatibility,Spatial Compatibility,Reaction_time,Response,Correctness,Cue,Finger,Green
0,,M,1.0,1.0,-3.6642680645,lcmd,to define,to define,i,0.0
1,,M,1.0,0.0,0.527325105667,lcmd,to define,to define,i,0.0
2,,M,0.0,1.0,0.625896978378,lcmd,to define,to define,m,0.0
3,,M,1.0,0.0,0.590544843674,lalt,to define,to define,m,0.0
4,,M,0.0,0.0,0.708348941803,lcmd,to define,to define,m,0.0
5,,M,0.0,1.0,0.560871076584,lalt,to define,to define,i,0.0
6,,M,1.0,1.0,0.485451936722,lalt,to define,to define,m,0.0
7,,M,0.0,0.0,0.596991014481,lalt,to define,to define,i,0.0
