,Participant,Condition,Imitative Compatibility,Spatial Compatibility,Reaction_time,Response,Correctness,Cue,Finger,Green
0,coolbuddy,M,1.0,1.0,-3.0416639328,i,0.0,m,m,0.0
1,coolbuddy,M,0.0,0.0,0.749431943893,m,1.0,m,i,0.0
2,coolbuddy,M,0.0,1.0,0.848160934448,m,1.0,m,i,0.0
3,coolbuddy,M,1.0,0.0,0.601532077789,m,1.0,m,m,0.0
4,coolbuddy,M,0.0,0.0,0.482415008545,i,1.0,i,m,0.0
5,coolbuddy,M,1.0,1.0,0.531640148163,i,1.0,i,i,0.0
6,coolbuddy,M,0.0,1.0,0.576750946045,i,1.0,i,m,0.0
7,coolbuddy,M,1.0,0.0,0.519163942337,i,1.0,i,i,0.0
